"Timestamp","Which option would you like to see as our R4DS online learning community logo?"
"2018/03/06 10:02:34 AM CST","6 blue"
"2018/03/06 10:02:52 AM CST","2 blue"
"2018/03/06 10:03:25 AM CST","5 red"
"2018/03/06 10:03:25 AM CST","6 blue"
"2018/03/06 10:05:47 AM CST","6 blue"
"2018/03/06 10:06:23 AM CST","1 blue"
"2018/03/06 10:11:26 AM CST","2 blue"
"2018/03/06 10:12:40 AM CST","1 blue"
"2018/03/06 10:13:57 AM CST","3 blue"
"2018/03/06 10:20:38 AM CST","4 blue"
"2018/03/06 10:22:20 AM CST","6 red"
"2018/03/06 10:25:10 AM CST","1 blue"
"2018/03/06 10:27:51 AM CST","6 blue"
"2018/03/06 10:33:20 AM CST","3 blue"
"2018/03/06 10:48:40 AM CST","1 blue"
"2018/03/06 10:54:30 AM CST","5 blue"
"2018/03/06 11:11:25 AM CST","6 blue"
"2018/03/06 11:22:19 AM CST","6 blue"
"2018/03/06 11:26:19 AM CST","6 red"
"2018/03/06 1:10:25 PM CST","1 red"
"2018/03/06 1:14:01 PM CST","3 red"
"2018/03/06 1:22:03 PM CST","3 red"
"2018/03/06 1:39:11 PM CST","6 red"
"2018/03/06 1:41:44 PM CST","4 red"
"2018/03/06 1:50:27 PM CST","6 blue"
"2018/03/06 1:56:13 PM CST","6 red"
"2018/03/06 2:09:54 PM CST","6 blue"
"2018/03/06 2:23:57 PM CST","3 red"
"2018/03/06 2:38:29 PM CST","6 blue"
"2018/03/06 2:50:37 PM CST","2 blue"
"2018/03/06 2:52:07 PM CST","2 red"
"2018/03/06 2:54:07 PM CST","6 blue"
"2018/03/06 3:22:52 PM CST","5 blue"
"2018/03/06 6:30:14 PM CST","2 blue"
"2018/03/06 7:41:54 PM CST","6 blue"
"2018/03/06 7:43:50 PM CST","1 blue"
"2018/03/06 7:47:05 PM CST","5 blue"
"2018/03/06 7:50:12 PM CST","2 blue"
"2018/03/06 7:50:28 PM CST","2 blue"
"2018/03/06 7:50:46 PM CST","4 blue"
"2018/03/06 7:53:05 PM CST","1 blue"
"2018/03/06 7:53:53 PM CST","6 red"
"2018/03/06 7:57:28 PM CST","3 red"
"2018/03/06 8:10:20 PM CST","5 blue"
"2018/03/06 8:13:53 PM CST","3 blue"
"2018/03/06 8:15:18 PM CST","6 blue"
"2018/03/06 8:16:27 PM CST","3 blue"
"2018/03/06 8:24:25 PM CST","1 blue"
"2018/03/06 8:44:06 PM CST","2 red"
"2018/03/06 8:49:55 PM CST","6 blue"
"2018/03/06 8:55:18 PM CST","5 blue"
"2018/03/06 9:10:42 PM CST","6 red"
"2018/03/06 9:47:03 PM CST","5 blue"
"2018/03/06 9:49:19 PM CST","2 blue"
"2018/03/06 10:15:31 PM CST","2 red"
"2018/03/06 10:16:29 PM CST","1 red"
"2018/03/06 11:01:40 PM CST","2 blue"
"2018/03/06 11:25:07 PM CST","6 blue"
"2018/03/06 11:46:00 PM CST","6 blue"
"2018/03/06 11:53:11 PM CST","3 blue"
"2018/03/07 12:23:33 AM CST","4 red"
"2018/03/07 1:05:06 AM CST","5 blue"
"2018/03/07 1:19:03 AM CST","1 blue"
"2018/03/07 1:19:40 AM CST","6 blue"
"2018/03/07 1:35:17 AM CST","5 blue"
"2018/03/07 1:44:00 AM CST","3 blue"
"2018/03/07 1:45:45 AM CST","1 blue"
"2018/03/07 3:11:52 AM CST","6 red"
"2018/03/07 3:34:17 AM CST","2 blue"
"2018/03/07 3:45:21 AM CST","6 blue"
"2018/03/07 7:56:51 AM CST","2 blue"
"2018/03/07 10:35:33 AM CST","6 blue"
"2018/03/07 1:02:14 PM CST","6 blue"
"2018/03/07 5:48:00 PM CST","1 blue"
"2018/03/08 5:23:37 AM CST","3 blue"
"2018/03/08 8:10:19 AM CST","6 red"
"2018/03/08 8:24:32 AM CST","1 blue"
"2018/03/08 8:24:43 AM CST","1 blue"
"2018/03/08 8:28:54 AM CST","6 blue"
"2018/03/08 9:56:00 AM CST","4 blue"
"2018/03/08 2:26:58 PM CST","5 blue"
"2018/03/08 6:25:07 PM CST","6 blue"